2025-03-14 01:08:48 - Episode: 1, Reward: -57, Score: 0
2025-03-14 01:08:49 - Episode: 4, Reward: -56, Score: 0
2025-03-14 01:08:50 - Episode: 6, Reward: -52, Score: 0
2025-03-14 01:10:03 - Episode: 1, Reward: -58, Score: 0
2025-03-14 01:10:03 - Episode: 2, Reward: -56, Score: 0
2025-03-14 01:10:03 - Episode: 5, Reward: -55, Score: 0
2025-03-14 01:10:03 - Episode: 9, Reward: -53, Score: 0
2025-03-14 01:10:04 - Episode: 25, Reward: -49, Score: 0
2025-03-14 01:10:06 - Episode: 53, Reward: -48, Score: 0
2025-03-14 01:10:08 - Episode: 75, Reward: -44, Score: 0
2025-03-14 01:10:14 - Episode: 158, Reward: -40, Score: 0
2025-03-14 01:10:15 - Episode: 174, Reward: -33, Score: 0
2025-03-14 01:10:16 - Episode: 181, Reward: -31, Score: 0
2025-03-14 01:10:16 - Episode: 186, Reward: 0, Score: 1
2025-03-14 01:10:47 - Episode: 559, Reward: 5, Score: 1
2025-03-14 01:10:47 - Episode: 564, Reward: 52, Score: 2
2025-03-14 01:10:56 - Episode: 648, Reward: 88, Score: 3
2025-03-14 01:11:08 - Episode: 754, Reward: 132, Score: 4
2025-03-14 01:13:00 - Episode: 1673, Reward: 140, Score: 4
2025-03-14 01:14:31 - Episode: 2430, Reward: 220, Score: 6
2025-03-14 01:20:26 - Episode: 4983, Reward: 314, Score: 8
2025-03-14 01:36:59 - Episode: 1, Reward: -57, Score: 0
2025-03-14 01:37:00 - Episode: 11, Reward: -56, Score: 0
2025-03-14 01:37:00 - Episode: 13, Reward: -53, Score: 0
2025-03-14 01:37:00 - Episode: 20, Reward: -50, Score: 0
2025-03-14 01:37:05 - Episode: 112, Reward: -44, Score: 0
2025-03-14 01:37:08 - Episode: 156, Reward: -35, Score: 0
2025-03-14 01:37:12 - Episode: 206, Reward: -31, Score: 0
2025-03-14 01:37:18 - Episode: 270, Reward: 4, Score: 1
2025-03-14 01:37:22 - Episode: 317, Reward: 13, Score: 1
2025-03-14 01:37:23 - Episode: 335, Reward: 44, Score: 2
2025-03-14 01:37:41 - Episode: 541, Reward: 51, Score: 2
2025-03-14 01:37:50 - Episode: 623, Reward: 88, Score: 3
2025-03-14 01:38:00 - Episode: 707, Reward: 132, Score: 4
2025-03-14 01:38:05 - Episode: 758, Reward: 135, Score: 4
2025-03-14 10:15:50 - Episode: 1, Reward: -58, Score: 0
2025-03-14 10:15:50 - Episode: 2, Reward: -56, Score: 0
2025-03-14 10:15:51 - Episode: 17, Reward: -46, Score: 0
2025-03-14 10:15:53 - Episode: 63, Reward: -45, Score: 0
2025-03-14 10:15:54 - Episode: 77, Reward: -44, Score: 0
2025-03-14 10:15:56 - Episode: 100, Reward: 0, Score: 1
2025-03-14 10:16:34 - Episode: 511, Reward: 2, Score: 1
2025-03-14 10:16:38 - Episode: 539, Reward: 132, Score: 4
2025-03-14 10:22:04 - Episode: 3099, Reward: 220, Score: 6
2025-03-14 10:27:39 - Episode: 1, Reward: -58, Score: 0
2025-03-14 10:27:39 - Episode: 4, Reward: -57, Score: 0
2025-03-14 10:27:39 - Episode: 6, Reward: -55, Score: 0
2025-03-14 10:27:39 - Episode: 10, Reward: -54, Score: 0
2025-03-14 10:27:40 - Episode: 13, Reward: -53, Score: 0
2025-03-14 10:27:46 - Episode: 110, Reward: -44, Score: 0
2025-03-14 10:27:52 - Episode: 200, Reward: -39, Score: 0
2025-03-14 10:27:54 - Episode: 209, Reward: 0, Score: 1
2025-03-14 10:28:01 - Episode: 282, Reward: 41, Score: 2
2025-03-14 10:28:27 - Episode: 551, Reward: 44, Score: 2
2025-03-14 10:28:37 - Episode: 637, Reward: 88, Score: 3
2025-03-14 10:28:38 - Episode: 640, Reward: 142, Score: 4
2025-03-14 10:35:46 - Episode: 1, Reward: -56, Score: 0
2025-03-14 10:35:46 - Episode: 11, Reward: -55, Score: 0
2025-03-14 10:35:48 - Episode: 44, Reward: -47, Score: 0
2025-03-14 10:35:48 - Episode: 54, Reward: -44, Score: 0
2025-03-14 10:35:54 - Episode: 161, Reward: -41, Score: 0
2025-03-14 10:35:54 - Episode: 165, Reward: -37, Score: 0
2025-03-14 10:35:56 - Episode: 199, Reward: -4, Score: 1
2025-03-14 10:36:01 - Episode: 255, Reward: 0, Score: 1
2025-03-14 10:36:02 - Episode: 262, Reward: 45, Score: 2
2025-03-14 10:36:44 - Episode: 772, Reward: 88, Score: 3
2025-03-14 10:36:44 - Episode: 778, Reward: 95, Score: 3
2025-03-14 10:37:06 - Episode: 1008, Reward: 139, Score: 4
2025-03-14 10:41:53 - Episode: 3878, Reward: 176, Score: 5
2025-03-14 10:45:48 - Episode: 5916, Reward: 264, Score: 7
